ID;Domäne;Wirkungskettenelement;Indikatorname;Jahr;Beschreibung;Erhalten durch
11;Vulnerabilität;Permanente Bodenbedeckung;Landschaftsschutzgebiete und Naturschutzgebiete;2015;Landschaftsschutzgebiete sind Gebiete außerhalb geschlossener Ortschaften, die entweder eine besondere landschaftliche Schönheit aufweisen oder für die Erholung von Bedeutung sind. Naturschutzgebiete sind Gebiete außerhalb geschlossener Ortschaften mit weitgehender Ursprünglichkeit oder solche, die gefährdete Tier- oder Pflanzenarten bzw. derartige Lebensgemeinschaften aufweisen. ;Online
12;Vulnerabilität;Künstliche Bewässerung;Nutzwasserversorgung;unbekannt;Der Indikator beeinhaltet die Wasserpunkte der Kategorien 'Trink-und Nutzwasserversorgung für betriebliche Versorgung' und 'Nutzwasserversorgung'.;Manuel Widauer
13;Expoistion;Betriebsgröße, Gewinn, Viehbestand;Einwohner nach Wirtschaftszweig: Primärer Sektor;2013;Der Indikator beschreibt den Prozentsatz der Bevölkerung pro 1km² Zelle, die dem primären Sektor zuzuordnen sind. ;RESPECT
14;Expoistion;Betriebsgröße, Gewinn, Viehbestand;Landwirtschaftlich genutzte Flächen (Feldstücke);2020;Der Layer umfasst alle von den AntragstellerInnen erfassten Feldstücken, welche als Grundlage der Förderabwicklung dienen. Ein Feldstück ist eine im Bundesgebiet gelegene, eindeutig abgrenzbare Bewirtschaftungseinheit eines Betriebsinhabers mit nur einer Nutzungsart gemäß § 16 der Verordnung des zuständigen Bundesministeriums mit horizontalen Regeln für den Bereich der Gemeinsamen Agrarpolitik (Horizontale GAP-Verordnung) StF: BGBl. II Nr. 100/2015, die im Geographischen Informationssystem (GIS) als Polygon digitalisiert ist und aus Schlägen besteht.;Online
15;Klimagefahr;Niederschlag;Variabilität RCP 4.5 Delta 2021-2050;1970-2100;"Bias corrected (scaled distribution mapping) data of the EURO-CORDEX model CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53
using observational data from GPARD (ZAMG).
Historical and future projection under the RCP4.5 scenario.       dataset: OKS15
        scenario: RCP8.5
        location: austria
        period1: 1970-2100
        method: aggr_index
        aggregation_period: MS
        RCM_list: CNRM-CM5-s-CCLM-s-r1i1p1,CNRM-CM5-s-ALADIN-s-r1i1p1,CNRM-CM5-s-RCA-s-r1i1p1,EC-EARTH-s-CCLM-s-r12i1p1,EC-EARTH-s-RCA-s-r12i1p1,EC-EARTH-s-RACMO-s-r1i1p1,EC-EARTH-s-RACMO-s-r12i1p1,EC-EARTH-s-HIRHAM5-s-r3i1p1,IPSL-CM5A-MR-s-WRF-s-r1i1p1,IPSL-CM5A-MR-s-RCA-s-r1i1p1,HadGEM2-ES-s-CCLM-s-r1i1p1,HadGEM2-ES-s-RCA-s-r1i1p1,MPI-ESM-LR-s-CCLM-s-r1i1p1,MPI-ESM-LR-s-REMO-s-r1i1p1,MPI-ESM-LR-s-RCA-s-r1i1p1,MPI-ESM-LR-s-REMO-s-r2i1p1,NorESM1-M-s-HIRHAM5-s-r1i1p1
        inter-model-statistics: median";Klaus Haslinger/Janos Tordai
16;Klimagefahr;Niederschlag;Variabilität RCP 4.5 Delta 2071-2100;1970-2100;Siehe Zeile 15;Klaus Haslinger
17;Klimagefahr;Niederschlag;Variabilität RCP 8.5 Delta 2021-2050;1970-2100;Siehe Zeile 15;Klaus Haslinger
18;Klimagefahr;Niederschlag;Variabilität RCP 8.5 Delta 2071-2100;1970-2100;Siehe Zeile 15;Klaus Haslinger
23;Vulnerabilität;Schädlingsbefall;-;-;"""Eine Verortung von Schädlingsbefall im Acker und Gemüsebau findet leider nicht statt. Es ist diesbezüglich auch nichts geplant ""  (Leist, 08.03.21)";
24;Vulnerabilität;Saatgutqualität;-;-;;
25;Vulnerabilität;Versichert;-;-;;
26;Vulnerabilität;Subventionen;-;-;;
27;Vulnerabilität;Benutzung von Dünger;-;-;;
28;Exposition;Viehbestand;-;-;"""Es gibt im SAGISonline eine Verortung von tierhaltenden Betrieben. Diese beruhen auf den AMA und VIS-Daten. Leider sind diese ausschließlich für die „Tierseuchenbekämpfung“ verfügbar und dürfen sonst nicht genutzt werden.""  (Leist, 08.03.21)";
29;Exposition;Betriebsgröße;-;-;;
